event_id,source_id,source_package,source_file,road_type,road_section_type,city,location_label,traffic_condition,collection_time_period,speed_bin,overlap_type,ego_id,cutin_id,reference_frame,reference_time_definition,keyframe1,keyframe2,keyframe3,keyframe4,keyframe5,ego_speed_kmh,cutin_speed_kmh,relative_speed_kmh,longitudinal_gap_m,longitudinal_gap_signed_m,lateral_speed_mps,cutin_angle_deg,cutin_duration_s,ttc_s,thw_s,min_ttc_s,min_thw_s,ego_max_decel_mps2,cutin_lateral_accel_mps2,sample_quality,quality_notes
DJI_20250802072938_0004_V::Ego_194_CutIn_154_Event1,DJI_20250802072938_0004_V,DRIVEResearch_expressway_1h_cutin_scenarios_20260416,DJI_20250802072938_0004_V/ScenarioExtraction/cutin_scenarios/Ego_194_CutIn_154_Event1.xlsx,urban_expressway,straight_or_ramp_area,Changchun,Nan Fourth Ring Expressway near Changchun Water Group,congested,2025-08-02 07:21-08:41,60-80,normal,194,154,527,"keyframe3; kinematic metrics, ttc_s, and thw_s use this frame; cutin_duration_s uses keyframe4-keyframe1; min_ttc_s uses feature.TTC_min_s",16,16,527,603,603,78.883,70.196,-8.687,16.642,,0.533,2.775,14.767,8.97,0.759,8.424,0.599,-0.24,0.84,valid,
DJI_20250802072938_0004_V::Ego_213_CutIn_236_Event1,DJI_20250802072938_0004_V,DRIVEResearch_expressway_1h_cutin_scenarios_20260416,DJI_20250802072938_0004_V/ScenarioExtraction/cutin_scenarios/Ego_213_CutIn_236_Event1.xlsx,urban_expressway,straight_or_ramp_area,Changchun,Nan Fourth Ring Expressway near Changchun Water Group,congested,2025-08-02 07:21-08:41,40-60,normal,213,236,557,"keyframe3; kinematic metrics, ttc_s, and thw_s use this frame; cutin_duration_s uses keyframe4-keyframe1; min_ttc_s uses feature.TTC_min_s",295,295,557,667,667,59.256,78.667,19.411,33.766,,0.13,-2.708,12.4,,2.051,,0.007,-0.522,0.69,review,missing_required_metric
DJI_20250802072938_0004_V::Ego_221_CutIn_266_Event1,DJI_20250802072938_0004_V,DRIVEResearch_expressway_1h_cutin_scenarios_20260416,DJI_20250802072938_0004_V/ScenarioExtraction/cutin_scenarios/Ego_221_CutIn_266_Event1.xlsx,urban_expressway,straight_or_ramp_area,Changchun,Nan Fourth Ring Expressway near Changchun Water Group,congested,2025-08-02 07:21-08:41,40-60,normal,221,266,78,"keyframe3; kinematic metrics, ttc_s, and thw_s use this frame; cutin_duration_s uses keyframe4-keyframe1; min_ttc_s uses feature.TTC_min_s",326,326,78,822,822,56.779,64.476,7.697,6.079,,0.284,1.411,16.533,,0.385,,0.001,-0.204,1.185,review,missing_required_metric
DJI_20250802072938_0004_V::Ego_242_CutIn_245_Event1,DJI_20250802072938_0004_V,DRIVEResearch_expressway_1h_cutin_scenarios_20260416,DJI_20250802072938_0004_V/ScenarioExtraction/cutin_scenarios/Ego_242_CutIn_245_Event1.xlsx,urban_expressway,straight_or_ramp_area,Changchun,Nan Fourth Ring Expressway near Changchun Water Group,congested,2025-08-02 07:21-08:41,60-80,normal,242,245,848,"keyframe3; kinematic metrics, ttc_s, and thw_s use this frame; cutin_duration_s uses keyframe4-keyframe1; min_ttc_s uses feature.TTC_min_s",481,481,848,9,9,66.928,70.283,3.355,10.441,,0.285,2.63,13.967,,0.561,,0.001,-1,0.63,review,missing_required_metric
DJI_20250802072938_0004_V::Ego_244_CutIn_229_Event1,DJI_20250802072938_0004_V,DRIVEResearch_expressway_1h_cutin_scenarios_20260416,DJI_20250802072938_0004_V/ScenarioExtraction/cutin_scenarios/Ego_244_CutIn_229_Event1.xlsx,urban_expressway,straight_or_ramp_area,Changchun,Nan Fourth Ring Expressway near Changchun Water Group,congested,2025-08-02 07:21-08:41,60-80,normal,244,229,53,"keyframe3; kinematic metrics, ttc_s, and thw_s use this frame; cutin_duration_s uses keyframe4-keyframe1; min_ttc_s uses feature.TTC_min_s",419,419,53,894,894,68.112,57.812,-10.3,23.737,,0.498,2.201,15.833,10.05,1.254,9.246,1.047,-0.603,0.75,valid,
DJI_20250802072938_0004_V::Ego_277_CutIn_202_Event1,DJI_20250802072938_0004_V,DRIVEResearch_expressway_1h_cutin_scenarios_20260416,DJI_20250802072938_0004_V/ScenarioExtraction/cutin_scenarios/Ego_277_CutIn_202_Event1.xlsx,urban_expressway,straight_or_ramp_area,Changchun,Nan Fourth Ring Expressway near Changchun Water Group,congested,2025-08-02 07:21-08:41,40-60,normal,277,202,561,"keyframe3; kinematic metrics, ttc_s, and thw_s use this frame; cutin_duration_s uses keyframe4-keyframe1; min_ttc_s uses feature.TTC_min_s",249,249,561,767,767,58.043,54.022,-4.021,28.914,,0.213,1.714,17.267,30.262,1.793,9.745,1.782,-0.873,0.75,valid,
DJI_20250802072938_0004_V::Ego_284_CutIn_285_Event1,DJI_20250802072938_0004_V,DRIVEResearch_expressway_1h_cutin_scenarios_20260416,DJI_20250802072938_0004_V/ScenarioExtraction/cutin_scenarios/Ego_284_CutIn_285_Event1.xlsx,urban_expressway,straight_or_ramp_area,Changchun,Nan Fourth Ring Expressway near Changchun Water Group,congested,2025-08-02 07:21-08:41,40-60,normal,284,285,637,"keyframe3; kinematic metrics, ttc_s, and thw_s use this frame; cutin_duration_s uses keyframe4-keyframe1; min_ttc_s uses feature.TTC_min_s",583,583,637,979,979,55.94,96.973,41.033,19.866,,0.73,1.479,13.2,,1.278,,0.141,-0.285,0.78,review,missing_required_metric
DJI_20250802072938_0004_V::Ego_330_CutIn_352_Event1,DJI_20250802072938_0004_V,DRIVEResearch_expressway_1h_cutin_scenarios_20260416,DJI_20250802072938_0004_V/ScenarioExtraction/cutin_scenarios/Ego_330_CutIn_352_Event1.xlsx,urban_expressway,straight_or_ramp_area,Changchun,Nan Fourth Ring Expressway near Changchun Water Group,congested,2025-08-02 07:21-08:41,60-80,normal,330,352,1091,"keyframe3; kinematic metrics, ttc_s, and thw_s use this frame; cutin_duration_s uses keyframe4-keyframe1; min_ttc_s uses feature.TTC_min_s",715,715,1091,1105,1105,66.668,78.995,12.326,10.437,,0.296,2.222,13,,0.564,,0,-0.444,0.855,review,missing_required_metric
DJI_20250802072938_0004_V::Ego_338_CutIn_263_Event1,DJI_20250802072938_0004_V,DRIVEResearch_expressway_1h_cutin_scenarios_20260416,DJI_20250802072938_0004_V/ScenarioExtraction/cutin_scenarios/Ego_338_CutIn_263_Event1.xlsx,urban_expressway,straight_or_ramp_area,Changchun,Nan Fourth Ring Expressway near Changchun Water Group,congested,2025-08-02 07:21-08:41,60-80,normal,338,263,953,"keyframe3; kinematic metrics, ttc_s, and thw_s use this frame; cutin_duration_s uses keyframe4-keyframe1; min_ttc_s uses feature.TTC_min_s",513,513,953,107,107,66.01,53.082,-12.928,40.869,,0.54,1.016,18.567,12.743,2.229,11.34,1.988,-0.476,0.675,valid,
DJI_20250802072938_0004_V::Ego_347_CutIn_357_Event1,DJI_20250802072938_0004_V,DRIVEResearch_expressway_1h_cutin_scenarios_20260416,DJI_20250802072938_0004_V/ScenarioExtraction/cutin_scenarios/Ego_347_CutIn_357_Event1.xlsx,urban_expressway,straight_or_ramp_area,Changchun,Nan Fourth Ring Expressway near Changchun Water Group,congested,2025-08-02 07:21-08:41,60-80,normal,347,357,848,"keyframe3; kinematic metrics, ttc_s, and thw_s use this frame; cutin_duration_s uses keyframe4-keyframe1; min_ttc_s uses feature.TTC_min_s",48,48,848,9,9,66.924,70.283,3.359,10.451,,0.345,2.418,14,,0.562,,0.001,-0.999,0.645,review,missing_required_metric
DJI_20250802072938_0004_V::Ego_355_CutIn_317_Event1,DJI_20250802072938_0004_V,DRIVEResearch_expressway_1h_cutin_scenarios_20260416,DJI_20250802072938_0004_V/ScenarioExtraction/cutin_scenarios/Ego_355_CutIn_317_Event1.xlsx,urban_expressway,straight_or_ramp_area,Changchun,Nan Fourth Ring Expressway near Changchun Water Group,congested,2025-08-02 07:21-08:41,60-80,normal,355,317,53,"keyframe3; kinematic metrics, ttc_s, and thw_s use this frame; cutin_duration_s uses keyframe4-keyframe1; min_ttc_s uses feature.TTC_min_s",419,419,53,894,894,68.033,57.726,-10.307,23.735,,0.478,2.287,15.833,10.045,1.256,9.218,1.047,-0.625,0.585,valid,
DJI_20250802072938_0004_V::Ego_421_CutIn_420_Event1,DJI_20250802072938_0004_V,DRIVEResearch_expressway_1h_cutin_scenarios_20260416,DJI_20250802072938_0004_V/ScenarioExtraction/cutin_scenarios/Ego_421_CutIn_420_Event1.xlsx,urban_expressway,straight_or_ramp_area,Changchun,Nan Fourth Ring Expressway near Changchun Water Group,congested,2025-08-02 07:21-08:41,40-60,normal,421,420,637,"keyframe3; kinematic metrics, ttc_s, and thw_s use this frame; cutin_duration_s uses keyframe4-keyframe1; min_ttc_s uses feature.TTC_min_s",582,582,637,979,979,55.796,95.969,40.172,19.859,,0.594,0.972,13.233,,1.281,,0.144,-0.294,0.765,review,missing_required_metric
DJI_20250802072938_0004_V::Ego_486_CutIn_508_Event1,DJI_20250802072938_0004_V,DRIVEResearch_expressway_1h_cutin_scenarios_20260416,DJI_20250802072938_0004_V/ScenarioExtraction/cutin_scenarios/Ego_486_CutIn_508_Event1.xlsx,urban_expressway,straight_or_ramp_area,Changchun,Nan Fourth Ring Expressway near Changchun Water Group,congested,2025-08-02 07:21-08:41,60-80,normal,486,508,1091,"keyframe3; kinematic metrics, ttc_s, and thw_s use this frame; cutin_duration_s uses keyframe4-keyframe1; min_ttc_s uses feature.TTC_min_s",715,715,1091,1105,1105,66.636,78.955,12.319,10.432,,0.273,2.058,13,,0.564,,0.004,-0.505,1.14,review,missing_required_metric
DJI_20250802072938_0004_V::Ego_500_CutIn_369_Event1,DJI_20250802072938_0004_V,DRIVEResearch_expressway_1h_cutin_scenarios_20260416,DJI_20250802072938_0004_V/ScenarioExtraction/cutin_scenarios/Ego_500_CutIn_369_Event1.xlsx,urban_expressway,straight_or_ramp_area,Changchun,Nan Fourth Ring Expressway near Changchun Water Group,congested,2025-08-02 07:21-08:41,60-80,normal,500,369,953,"keyframe3; kinematic metrics, ttc_s, and thw_s use this frame; cutin_duration_s uses keyframe4-keyframe1; min_ttc_s uses feature.TTC_min_s",513,513,953,1071,1071,66.038,53.053,-12.985,40.901,,0.588,0.515,18.6,12.707,2.23,11.372,1.987,-0.484,0.63,valid,
DJI_20250802072938_0004_V::Ego_506_CutIn_288_Event1,DJI_20250802072938_0004_V,DRIVEResearch_expressway_1h_cutin_scenarios_20260416,DJI_20250802072938_0004_V/ScenarioExtraction/cutin_scenarios/Ego_506_CutIn_288_Event1.xlsx,urban_expressway,straight_or_ramp_area,Changchun,Nan Fourth Ring Expressway near Changchun Water Group,congested,2025-08-02 07:21-08:41,40-60,normal,506,288,1111,"keyframe3; kinematic metrics, ttc_s, and thw_s use this frame; cutin_duration_s uses keyframe4-keyframe1; min_ttc_s uses feature.TTC_min_s",591,591,1111,127,127,56.722,43.164,-13.558,0.962,,0.203,1.23,22.633,38.567,0.061,38.507,0.001,-0.828,0.51,valid,
DJI_20250802072938_0004_V::Ego_506_CutIn_323_Event1,DJI_20250802072938_0004_V,DRIVEResearch_expressway_1h_cutin_scenarios_20260416,DJI_20250802072938_0004_V/ScenarioExtraction/cutin_scenarios/Ego_506_CutIn_323_Event1.xlsx,urban_expressway,straight_or_ramp_area,Changchun,Nan Fourth Ring Expressway near Changchun Water Group,congested,2025-08-02 07:21-08:41,40-60,normal,506,323,1114,"keyframe3; kinematic metrics, ttc_s, and thw_s use this frame; cutin_duration_s uses keyframe4-keyframe1; min_ttc_s uses feature.TTC_min_s",651,651,1114,1328,1328,56.635,40.957,-15.678,1.373,,0.458,0.414,22.567,38.521,0.087,38.507,0.001,-0.828,0.69,valid,
DJI_20250802072938_0004_V::Ego_506_CutIn_505_Event1,DJI_20250802072938_0004_V,DRIVEResearch_expressway_1h_cutin_scenarios_20260416,DJI_20250802072938_0004_V/ScenarioExtraction/cutin_scenarios/Ego_506_CutIn_505_Event1.xlsx,urban_expressway,straight_or_ramp_area,Changchun,Nan Fourth Ring Expressway near Changchun Water Group,congested,2025-08-02 07:21-08:41,40-60,normal,506,505,1386,"keyframe3; kinematic metrics, ttc_s, and thw_s use this frame; cutin_duration_s uses keyframe4-keyframe1; min_ttc_s uses feature.TTC_min_s",1063,1063,1386,1471,1471,52.686,77.548,24.862,50.754,,0.381,0.249,13.6,,3.468,38.507,0.001,-0.828,0.81,review,missing_required_metric
DJI_20250802072938_0004_V::Ego_539_CutIn_547_Event1,DJI_20250802072938_0004_V,DRIVEResearch_expressway_1h_cutin_scenarios_20260416,DJI_20250802072938_0004_V/ScenarioExtraction/cutin_scenarios/Ego_539_CutIn_547_Event1.xlsx,urban_expressway,straight_or_ramp_area,Changchun,Nan Fourth Ring Expressway near Changchun Water Group,congested,2025-08-02 07:21-08:41,60-80,normal,539,547,1581,"keyframe3; kinematic metrics, ttc_s, and thw_s use this frame; cutin_duration_s uses keyframe4-keyframe1; min_ttc_s uses feature.TTC_min_s",1228,1228,1581,1603,1603,67.608,84.132,16.524,30.178,,0.419,-0.291,12.5,,1.607,,0.005,-0.275,0.765,review,missing_required_metric
DJI_20250802072938_0004_V::Ego_693_CutIn_573_Event1,DJI_20250802072938_0004_V,DRIVEResearch_expressway_1h_cutin_scenarios_20260416,DJI_20250802072938_0004_V/ScenarioExtraction/cutin_scenarios/Ego_693_CutIn_573_Event1.xlsx,urban_expressway,straight_or_ramp_area,Changchun,Nan Fourth Ring Expressway near Changchun Water Group,congested,2025-08-02 07:21-08:41,40-60,normal,693,573,1677,"keyframe3; kinematic metrics, ttc_s, and thw_s use this frame; cutin_duration_s uses keyframe4-keyframe1; min_ttc_s uses feature.TTC_min_s",1279,1279,1677,1819,1819,54.054,56.66,2.606,76.126,,0.78,1.345,18,243.702,5.07,85.275,5.017,-0.3,0.72,valid,
DJI_20250802072938_0004_V::Ego_693_CutIn_598_Event1,DJI_20250802072938_0004_V,DRIVEResearch_expressway_1h_cutin_scenarios_20260416,DJI_20250802072938_0004_V/ScenarioExtraction/cutin_scenarios/Ego_693_CutIn_598_Event1.xlsx,urban_expressway,straight_or_ramp_area,Changchun,Nan Fourth Ring Expressway near Changchun Water Group,congested,2025-08-02 07:21-08:41,40-60,normal,693,598,171,"keyframe3; kinematic metrics, ttc_s, and thw_s use this frame; cutin_duration_s uses keyframe4-keyframe1; min_ttc_s uses feature.TTC_min_s",1342,1342,171,1832,1832,54.187,55.08,0.893,75.971,,0.719,1.102,16.333,,5.047,85.275,5.017,-0.3,0.525,review,missing_required_metric
DJI_20250802072938_0004_V::Ego_723_CutIn_423_Event1,DJI_20250802072938_0004_V,DRIVEResearch_expressway_1h_cutin_scenarios_20260416,DJI_20250802072938_0004_V/ScenarioExtraction/cutin_scenarios/Ego_723_CutIn_423_Event1.xlsx,urban_expressway,straight_or_ramp_area,Changchun,Nan Fourth Ring Expressway near Changchun Water Group,congested,2025-08-02 07:21-08:41,40-60,normal,723,423,111,"keyframe3; kinematic metrics, ttc_s, and thw_s use this frame; cutin_duration_s uses keyframe4-keyframe1; min_ttc_s uses feature.TTC_min_s",589,589,111,1271,1271,55.012,43.074,-11.938,0.784,,0.222,1.07,22.733,43.402,0.051,40.254,0.002,-0.723,0.48,valid,
DJI_20250802072938_0004_V::Ego_723_CutIn_479_Event1,DJI_20250802072938_0004_V,DRIVEResearch_expressway_1h_cutin_scenarios_20260416,DJI_20250802072938_0004_V/ScenarioExtraction/cutin_scenarios/Ego_723_CutIn_479_Event1.xlsx,urban_expressway,straight_or_ramp_area,Changchun,Nan Fourth Ring Expressway near Changchun Water Group,congested,2025-08-02 07:21-08:41,40-60,normal,723,479,1114,"keyframe3; kinematic metrics, ttc_s, and thw_s use this frame; cutin_duration_s uses keyframe4-keyframe1; min_ttc_s uses feature.TTC_min_s",649,649,1114,1328,1328,55.091,40.957,-14.134,1.365,,0.518,0.038,22.633,42.737,0.089,40.254,0.002,-0.723,0.69,valid,
DJI_20250802072938_0004_V::Ego_723_CutIn_722_Event1,DJI_20250802072938_0004_V,DRIVEResearch_expressway_1h_cutin_scenarios_20260416,DJI_20250802072938_0004_V/ScenarioExtraction/cutin_scenarios/Ego_723_CutIn_722_Event1.xlsx,urban_expressway,straight_or_ramp_area,Changchun,Nan Fourth Ring Expressway near Changchun Water Group,congested,2025-08-02 07:21-08:41,40-60,normal,723,722,1386,"keyframe3; kinematic metrics, ttc_s, and thw_s use this frame; cutin_duration_s uses keyframe4-keyframe1; min_ttc_s uses feature.TTC_min_s",1063,1063,1386,1471,1471,52.679,77.551,24.872,50.803,,0.322,0.262,13.6,,3.472,40.254,0.002,-0.723,0.78,review,missing_required_metric
DJI_20250802072938_0004_V::Ego_809_CutIn_820_Event1,DJI_20250802072938_0004_V,DRIVEResearch_expressway_1h_cutin_scenarios_20260416,DJI_20250802072938_0004_V/ScenarioExtraction/cutin_scenarios/Ego_809_CutIn_820_Event1.xlsx,urban_expressway,straight_or_ramp_area,Changchun,Nan Fourth Ring Expressway near Changchun Water Group,congested,2025-08-02 07:21-08:41,60-80,normal,809,820,158,"keyframe3; kinematic metrics, ttc_s, and thw_s use this frame; cutin_duration_s uses keyframe4-keyframe1; min_ttc_s uses feature.TTC_min_s",1228,1228,158,1603,1603,67.525,84.157,16.632,29.966,,0.425,-0.046,12.5,,1.597,,0,-0.394,0.99,review,missing_required_metric
DJI_20250802072938_0004_V::Ego_82_CutIn_38_Event1,DJI_20250802072938_0004_V,DRIVEResearch_expressway_1h_cutin_scenarios_20260416,DJI_20250802072938_0004_V/ScenarioExtraction/cutin_scenarios/Ego_82_CutIn_38_Event1.xlsx,urban_expressway,straight_or_ramp_area,Changchun,Nan Fourth Ring Expressway near Changchun Water Group,congested,2025-08-02 07:21-08:41,60-80,normal,82,38,1,"keyframe3; kinematic metrics, ttc_s, and thw_s use this frame; cutin_duration_s uses keyframe4-keyframe1; min_ttc_s uses feature.TTC_min_s",0,0,1,336,336,61.427,67.73,6.304,70.869,,0.412,-0.956,11.2,,4.153,,3.935,-0.53,0.525,review,missing_required_metric
DJI_20250802072938_0004_V::Ego_85_CutIn_36_Event1,DJI_20250802072938_0004_V,DRIVEResearch_expressway_1h_cutin_scenarios_20260416,DJI_20250802072938_0004_V/ScenarioExtraction/cutin_scenarios/Ego_85_CutIn_36_Event1.xlsx,urban_expressway,straight_or_ramp_area,Changchun,Nan Fourth Ring Expressway near Changchun Water Group,congested,2025-08-02 07:21-08:41,60-80,normal,85,36,1,"keyframe3; kinematic metrics, ttc_s, and thw_s use this frame; cutin_duration_s uses keyframe4-keyframe1; min_ttc_s uses feature.TTC_min_s",0,0,1,336,336,61.438,67.77,6.332,70.926,,0.43,-1.31,11.2,,4.156,,3.937,-0.514,0.54,review,missing_required_metric
DJI_20250802072938_0004_V::Ego_936_CutIn_837_Event1,DJI_20250802072938_0004_V,DRIVEResearch_expressway_1h_cutin_scenarios_20260416,DJI_20250802072938_0004_V/ScenarioExtraction/cutin_scenarios/Ego_936_CutIn_837_Event1.xlsx,urban_expressway,straight_or_ramp_area,Changchun,Nan Fourth Ring Expressway near Changchun Water Group,congested,2025-08-02 07:21-08:41,40-60,normal,936,837,1677,"keyframe3; kinematic metrics, ttc_s, and thw_s use this frame; cutin_duration_s uses keyframe4-keyframe1; min_ttc_s uses feature.TTC_min_s",1278,1278,1677,1819,1819,54.104,56.657,2.552,76.067,,0.757,1.399,18.033,236.135,5.061,82.243,5.027,-0.565,0.66,valid,
DJI_20250802072938_0004_V::Ego_936_CutIn_884_Event1,DJI_20250802072938_0004_V,DRIVEResearch_expressway_1h_cutin_scenarios_20260416,DJI_20250802072938_0004_V/ScenarioExtraction/cutin_scenarios/Ego_936_CutIn_884_Event1.xlsx,urban_expressway,straight_or_ramp_area,Changchun,Nan Fourth Ring Expressway near Changchun Water Group,congested,2025-08-02 07:21-08:41,40-60,normal,936,884,171,"keyframe3; kinematic metrics, ttc_s, and thw_s use this frame; cutin_duration_s uses keyframe4-keyframe1; min_ttc_s uses feature.TTC_min_s",1343,1343,171,1832,1832,54.14,55.12,0.979,75.884,,0.699,1.258,16.3,,5.046,82.243,5.027,-0.565,0.525,review,missing_required_metric
